nombre,precio,rating,reseñas,link,producto
"Anuncio Patrocinado - Amazon Basics Juego de llaves de trinquete magnéticas y destornilladores de precisión electrónica, 73 unidades (paquete de 1), negro/rojo/plateado",21.59,4.6,20373,https://www.amazon.com.co/-/es/sspa/click?ie=UTF8&spc=MTo2MzUyNDI0MDI4MjgzNTIxOjE3NDgwNDgzMzM6c3BfYXRmOjIwMDAyMjY3Nzc4NzQzMTo6MDo6&url=%2Ftrinquete-magn%25C3%25A9ticas-destornilladores-precisi%25C3%25B3n-electr%25C3%25B3nica%2Fdp%2FB07V4TFWFZ%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw%26dib_tag%3Dse%26keywords%3Datornillador%2Belectrico%26qid%3D1748048333%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,atornillador electrico
"Anuncio Patrocinado - Mini destornillador eléctrico de 3.7 V, juego de destornilladores inalámbricos, destornillador eléctrico de precisión 72 en 1 puntas magnéticas, kit de herramientas de reparación portátil recargable",35.99,4.5,244,https://www.amazon.com.co/-/es/sspa/click?ie=UTF8&spc=MTo2MzUyNDI0MDI4MjgzNTIxOjE3NDgwNDgzMzM6c3BfYXRmOjMwMDQxNTE3MTk2MzAwMjo6MDo6&url=%2Fdestornillador-destornilladores-inal%25C3%25A1mbricos-magn%25C3%25A9ticas-herramientas%2Fdp%2FB0D4QSB3KP%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw%26dib_tag%3Dse%26keywords%3Datornillador%2Belectrico%26qid%3D1748048333%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,atornillador electrico
"Anuncio Patrocinado - Fanttik E1 Max - Mini destornillador eléctrico de precisión de 3.7V, brocas magnéticas 50 en 1, máx. 3Nm, almacenamiento magnético, hexagonal de 5/32 pulgadas, para electrónicos, gris",59.97,4.5,4465,https://www.amazon.com.co/-/es/sspa/click?ie=UTF8&spc=MTo2MzUyNDI0MDI4MjgzNTIxOjE3NDgwNDgzMzM6c3BfYXRmOjMwMDA0MzE0ODI5MjYwMjo6MDo6&url=%2FFanttik-E1-Max-destornillador-almacenamiento%2Fdp%2FB0BGWRWRX2%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw%26dib_tag%3Dse%26keywords%3Datornillador%2Belectrico%26qid%3D1748048333%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,atornillador electrico
"Anuncio Patrocinado - Destornillador eléctrico, juego de destornilladores de precisión, puntas magnéticas 64 en 1, 5 ajustes de torsión, 4 luces LED, kit de herramientas de reparación para PC, cámaras, relojes y",25.73,4.6,163,https://www.amazon.com.co/-/es/sspa/click?ie=UTF8&spc=MTo2MzUyNDI0MDI4MjgzNTIxOjE3NDgwNDgzMzM6c3BfYXRmOjMwMDY2NTA5MzAwNjYwMjo6MDo6&url=%2FDestornillador-destornilladores-magn%25C3%25A9ticas-herramientas-reparaci%25C3%25B3n%2Fdp%2FB0DFYB23GP%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw%26dib_tag%3Dse%26keywords%3Datornillador%2Belectrico%26qid%3D1748048333%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,atornillador electrico
"Fanttik E1 Max - Mini destornillador eléctrico de precisión de 3.7V, brocas magnéticas 50 en 1, máx. 3Nm, almacenamiento magnético, hexagonal de 5/32 pulgadas, para electrónicos, gris",59.97,4.5,4465,https://www.amazon.com.co/-/es/Fanttik-E1-Max-destornillador-almacenamiento/dp/B0BGWRWRX2/ref=sr_1_5?dib=eyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw&dib_tag=se&keywords=atornillador+electrico&qid=1748048333&sr=8-5,atornillador electrico
Amazon Basics by SKIL - Destornillador inalámbrico de 4 V con juego de brocas de 10 piezas y cable USB (anteriormente marca Denali),24.97,4.4,2134,https://www.amazon.com.co/-/es/Amazon-Basics-SKIL-Destornillador-anteriormente/dp/B09PFCX8Q1/ref=sr_1_6?dib=eyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw&dib_tag=se&keywords=atornillador+electrico&qid=1748048333&sr=8-6,atornillador electrico
DEWALT Destornillador inalámbrico con control FLEXDRIVE y puntas de atornillado (DWHT66719),89.0,4.5,8688,https://www.amazon.com.co/-/es/Destornillador-inal%C3%A1mbrico-FLEXDRIVE-atornillado-DWHT66719/dp/B0DJBQ9ZBF/ref=sr_1_8?dib=eyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw&dib_tag=se&keywords=atornillador+electrico&qid=1748048333&sr=8-8,atornillador electrico
"Skil - Destornillador inalámbrico recargable de 4 V, con tecnología de sensor de circuito, (incluye juego de 45 brocas, cable de carga USB y estuche)",19.99,4.5,15284,https://www.amazon.com.co/-/es/Skil-Destornillador-inal%C3%A1mbrico-recargable-tecnolog%C3%ADa/dp/B07C4916LS/ref=sr_1_9?dib=eyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw&dib_tag=se&keywords=atornillador+electrico&qid=1748048333&sr=8-9,atornillador electrico
"SKIL Destornillador inalámbrico recargable de 4 V que incluye 9 puntas, 1 soporte para brocas, cable de carga USB - SD561801",22.5,4.6,10242,https://www.amazon.com.co/-/es/Destornillador-inal%C3%A1mbrico-recargable-incluye-soporte/dp/B07F23B9FH/ref=sr_1_10?dib=eyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw&dib_tag=se&keywords=atornillador+electrico&qid=1748048333&sr=8-10,atornillador electrico
Anuncio Patrocinado - Amazon Basics by SKIL - Destornillador inalámbrico de 4 V con juego de brocas de 10 piezas y cable USB (anteriormente marca Denali),24.97,4.4,2134,https://www.amazon.com.co/-/es/sspa/click?ie=UTF8&spc=MTo2MzUyNDI0MDI4MjgzNTIxOjE3NDgwNDgzMzM6c3BfbXRmOjIwMDA5Njc3MDMzNDY5ODo6MDo6&url=%2FAmazon-Basics-SKIL-Destornillador-anteriormente%2Fdp%2FB09PFCX8Q1%2Fref%3Dsr_1_11_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.FF1hEjr_xCh7g7f7x8Ic4SZ2Plf50jP1JHl4M8JLGqwZsJjPpgo6XW807vndb1j3pXU0LRuUAx3rWbVYq_WqIvsxFzQaxmwsWAziGJOd988imhJXSW7XIltR_J5znewVDOqOWe6FFO3CooRKJNvpBunbZE5a5mW3VZyMJkvPdxIM5Z47ho74reU-ZeLcH94gSGybeBnrpvkOJ1ylUvMh5FnYetngL964CtkxDwgsGyT5zATunAxem4hlSe39QY8SmQV0W6n5-pIq67nw0s_mue_ItX1WdEJZu0dhEq3S0Ao.ZokA_dQcinWYsE3wNCT_TJXU-EGXNN5MbNBD-_ayjkw%26dib_tag%3Dse%26keywords%3Datornillador%2Belectrico%26qid%3D1748048333%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,atornillador electrico
